id,date,hb,hb_name,daily_positive,cumulative_positive,daily_positive_pcr_only,cumulative_positive_pcr_only,daily_positive_lfd_only,cumulative_positive_lfd_only,daily_positive_pcr_and_lfd,cumulative_positive_pcr_and_lfd,daily_deaths,daily_deaths_qf,cumulative_deaths,cumulative_deaths_qf,crude_rate_deaths,crude_rate_deaths_qf,positive_tests,positive_tests_lfd_only,hospital_admissions,hospital_admissions_qf,icu_admissions,icu_admissions_qf,positive_pillar1,positive_pillar2,first_infections,first_infections_cumulative,reinfections,reinfections_cumulative,percent_reinfections,percent_reinfections_cumulative,total_tests,total_pillar1,total_pillar2,total_lfd,hospital_occupancy,icu_occupancy28daysless,icu_occupancy28daysmore
65,2020-03-08,S08000029,NHS Fife,0,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,:,NA,:,NA,NA,0,2,0,0,NA,0,7,7,0,NA,NA,NA,NA
66,2020-03-08,S08000015,NHS Ayrshire and Arran,0,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,:,NA,:,NA,NA,0,2,0,0,NA,0,10,10,0,NA,NA,NA,NA
67,2020-03-09,S92000003,Scotland,16,46,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,39,NA,6,NA,NA,:,39,0,16,46,0,0,0,0,453,453,0,NA,NA,NA,NA
68,2020-03-09,S08000030,NHS Tayside,3,4,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,6,NA,NA,:,NA,:,6,0,3,4,0,0,0,0,22,22,0,NA,NA,NA,NA
69,2020-03-09,S08000026,NHS Shetland,4,6,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,6,NA,NA,:,NA,:,6,0,4,6,0,0,0,0,16,16,0,NA,NA,NA,NA
70,2020-03-09,S08000024,NHS Lothian,3,10,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,8,NA,NA,:,NA,:,8,0,3,10,0,0,0,0,136,136,0,NA,NA,NA,NA
71,2020-03-09,S08000032,NHS Lanarkshire,0,3,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,3,NA,NA,:,NA,:,3,0,0,3,0,0,NA,0,41,41,0,NA,NA,NA,NA
72,2020-03-09,S08000031,NHS Greater Glasgow and Clyde,3,6,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,9,NA,NA,:,NA,:,9,0,3,6,0,0,0,0,119,119,0,NA,NA,NA,NA
73,2020-03-09,S08000020,NHS Grampian,0,7,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,1,NA,NA,:,NA,:,1,0,0,7,0,0,NA,0,18,18,0,NA,NA,NA,NA
74,2020-03-09,S08000019,NHS Forth Valley,0,3,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,3,NA,NA,:,NA,:,3,0,0,3,0,0,NA,0,24,24,0,NA,NA,NA,NA
