hb,sex,age,year,population
S08000019,Male,40-49 years,2020,19168
S08000019,Male,40-49 years,2021,18802
S08000019,Male,50-59 years,2017,22404
S08000019,Male,50-59 years,2018,22661
S08000019,Male,50-59 years,2019,22942
S08000019,Male,50-59 years,2020,22949
S08000019,Male,50-59 years,2021,22934
S08000019,Male,60-69 years,2017,17381
S08000019,Male,60-69 years,2018,17387
S08000019,Male,60-69 years,2019,17519
S08000019,Male,60-69 years,2020,17662
S08000019,Male,60-69 years,2021,17988
S08000019,Male,70-79 years,2017,11851
S08000019,Male,70-79 years,2018,12395
S08000019,Male,70-79 years,2019,12778
S08000019,Male,70-79 years,2020,13137
S08000019,Male,70-79 years,2021,13366
S08000019,Male,80-89 years,2017,4876
S08000019,Male,80-89 years,2018,5025
S08000019,Male,80-89 years,2019,5152
S08000019,Male,80-89 years,2020,5224
S08000019,Male,80-89 years,2021,5314
S08000019,Male,90 years and over,2017,651
S08000019,Male,90 years and over,2018,657
S08000019,Male,90 years and over,2019,710
S08000019,Male,90 years and over,2020,728
S08000019,Male,90 years and over,2021,756
S08000019,Male,All ages,2017,148836
S08000019,Male,All ages,2018,149167
S08000019,Male,All ages,2019,149627
S08000019,Male,All ages,2020,149121
S08000019,Male,All ages,2021,148933
S08000020,All,0-9 years,2017,64624
S08000020,All,0-9 years,2018,63798
S08000020,All,0-9 years,2019,63184
S08000020,All,0-9 years,2020,61918
S08000020,All,0-9 years,2021,60652
S08000020,All,10-19 years,2017,59667
S08000020,All,10-19 years,2018,60010
S08000020,All,10-19 years,2019,60770
S08000020,All,10-19 years,2020,61752
S08000020,All,10-19 years,2021,63166
S08000020,All,20-29 years,2017,81688
S08000020,All,20-29 years,2018,78573
S08000020,All,20-29 years,2019,76258
S08000020,All,20-29 years,2020,73834
S08000020,All,20-29 years,2021,70414
S08000020,All,30-39 years,2017,80635
S08000020,All,30-39 years,2018,81418
S08000020,All,30-39 years,2019,82360
S08000020,All,30-39 years,2020,82702
S08000020,All,30-39 years,2021,83311
S08000020,All,40-49 years,2017,78756
S08000020,All,40-49 years,2018,77284
S08000020,All,40-49 years,2019,76501
S08000020,All,40-49 years,2020,76360
S08000020,All,40-49 years,2021,76424
S08000020,All,50-59 years,2017,81846
S08000020,All,50-59 years,2018,81920
S08000020,All,50-59 years,2019,82562
S08000020,All,50-59 years,2020,82571
S08000020,All,50-59 years,2021,83066
S08000020,All,60-69 years,2017,67240
S08000020,All,60-69 years,2018,67414
S08000020,All,60-69 years,2019,67590
S08000020,All,60-69 years,2020,68327
S08000020,All,60-69 years,2021,69447
S08000020,All,70-79 years,2017,45384
S08000020,All,70-79 years,2018,47122
S08000020,All,70-79 years,2019,48878
S08000020,All,70-79 years,2020,50145
S08000020,All,70-79 years,2021,51677
S08000020,All,80-89 years,2017,22268
S08000020,All,80-89 years,2018,22630
S08000020,All,80-89 years,2019,23064
S08000020,All,80-89 years,2020,23389
S08000020,All,80-89 years,2021,23656
S08000020,All,90 years and over,2017,4272
S08000020,All,90 years and over,2018,4381
S08000020,All,90 years and over,2019,4533
S08000020,All,90 years and over,2020,4552
S08000020,All,90 years and over,2021,4717
S08000020,All,All ages,2017,586380
S08000020,All,All ages,2018,584550
S08000020,All,All ages,2019,585700
S08000020,All,All ages,2020,585550
S08000020,All,All ages,2021,586530
S08000020,Female,0-9 years,2017,31450
S08000020,Female,0-9 years,2018,31094
S08000020,Female,0-9 years,2019,30785
S08000020,Female,0-9 years,2020,30140
