Date,Country,Sex,SexQF,AgeGroup,AgeGroupQF,DailyPositive,CumulativePositive,DailyDeaths,DailyDeathsQF,CumulativeDeaths,CumulativeDeathsQF,CrudeRateDeaths,CrudeRateDeathsQF,FirstInfections,FirstInfectionsCumulative,Reinfections,ReinfectionsCumulative,PercentReinfections,PercentReinfectionsCumulative
20200307,S92000003,Total,d,0 to 59,"",5,24,0,"",0,"",0,"",5,24,0,0,0,0
20200307,S92000003,Total,d,20 to 24,"",0,2,0,"",0,"",0,"",0,2,0,0,,0
20200307,S92000003,Total,d,25 to 44,"",2,11,0,"",0,"",0,"",2,11,0,0,0,0
20200307,S92000003,Total,d,45 to 64,"",3,11,0,"",0,"",0,"",3,11,0,0,0,0
20200307,S92000003,Total,d,60+,"",1,3,0,"",0,"",0,"",1,3,0,0,0,0
20200307,S92000003,Total,d,65 to 74,"",1,3,0,"",0,"",0,"",1,3,0,0,0,0
20200307,S92000003,Total,d,Total,d,6,27,0,"",0,"",0,"",6,27,0,0,0,0
20200308,S92000003,Female,"",0 to 59,"",0,9,0,"",0,"",0,"",0,9,0,0,,0
20200308,S92000003,Female,"",20 to 24,"",0,2,0,"",0,"",0,"",0,2,0,0,,0
20200308,S92000003,Female,"",25 to 44,"",0,3,0,"",0,"",0,"",0,3,0,0,,0
20200308,S92000003,Female,"",45 to 64,"",0,4,0,"",0,"",0,"",0,4,0,0,,0
20200308,S92000003,Female,"",60+,"",0,1,0,"",0,"",0,"",0,1,0,0,,0
20200308,S92000003,Female,"",65 to 74,"",0,1,0,"",0,"",0,"",0,1,0,0,,0
20200308,S92000003,Female,"",Total,d,0,10,0,"",0,"",0,"",0,10,0,0,,0
20200308,S92000003,Male,"",0 to 59,"",2,17,0,"",0,"",0,"",2,17,0,0,0,0
20200308,S92000003,Male,"",25 to 44,"",2,10,0,"",0,"",0,"",2,10,0,0,0,0
20200308,S92000003,Male,"",45 to 64,"",0,7,0,"",0,"",0,"",0,7,0,0,,0
20200308,S92000003,Male,"",60+,"",1,3,0,"",0,"",0,"",1,3,0,0,0,0
20200308,S92000003,Male,"",65 to 74,"",1,3,0,"",0,"",0,"",1,3,0,0,0,0
20200308,S92000003,Male,"",Total,d,3,20,0,"",0,"",0,"",3,20,0,0,0,0
20200308,S92000003,Total,d,0 to 59,"",2,26,0,"",0,"",0,"",2,26,0,0,0,0
20200308,S92000003,Total,d,20 to 24,"",0,2,0,"",0,"",0,"",0,2,0,0,,0
20200308,S92000003,Total,d,25 to 44,"",2,13,0,"",0,"",0,"",2,13,0,0,0,0
20200308,S92000003,Total,d,45 to 64,"",0,11,0,"",0,"",0,"",0,11,0,0,,0
20200308,S92000003,Total,d,60+,"",1,4,0,"",0,"",0,"",1,4,0,0,0,0
20200308,S92000003,Total,d,65 to 74,"",1,4,0,"",0,"",0,"",1,4,0,0,0,0
20200308,S92000003,Total,d,Total,d,3,30,0,"",0,"",0,"",3,30,0,0,0,0
20200309,S92000003,Female,"",0 to 59,"",2,11,0,"",0,"",0,"",2,11,0,0,0,0
20200309,S92000003,Female,"",20 to 24,"",0,2,0,"",0,"",0,"",0,2,0,0,,0
20200309,S92000003,Female,"",25 to 44,"",1,4,0,"",0,"",0,"",1,4,0,0,0,0
20200309,S92000003,Female,"",45 to 64,"",2,6,0,"",0,"",0,"",2,6,0,0,0,0
20200309,S92000003,Female,"",60+,"",1,2,0,"",0,"",0,"",1,2,0,0,0,0
20200309,S92000003,Female,"",65 to 74,"",0,1,0,"",0,"",0,"",0,1,0,0,,0
20200309,S92000003,Female,"",Total,d,3,13,0,"",0,"",0,"",3,13,0,0,0,0
20200309,S92000003,Male,"",0 to 59,"",9,26,0,"",0,"",0,"",9,26,0,0,0,0
20200309,S92000003,Male,"",15 to 19,"",1,1,0,"",0,"",0,"",1,1,0,0,0,0
20200309,S92000003,Male,"",20 to 24,"",1,1,0,"",0,"",0,"",1,1,0,0,0,0
20200309,S92000003,Male,"",25 to 44,"",5,15,0,"",0,"",0,"",5,15,0,0,0,0
20200309,S92000003,Male,"",45 to 64,"",4,11,0,"",0,"",0,"",4,11,0,0,0,0
20200309,S92000003,Male,"",60+,"",4,7,0,"",0,"",0,"",4,7,0,0,0,0
20200309,S92000003,Male,"",65 to 74,"",1,4,0,"",0,"",0,"",1,4,0,0,0,0
20200309,S92000003,Male,"",75 to 84,"",1,1,0,"",0,"",0,"",1,1,0,0,0,0
20200309,S92000003,Male,"",Total,d,13,33,0,"",0,"",0,"",13,33,0,0,0,0
20200309,S92000003,Total,d,0 to 59,"",11,37,0,"",0,"",0,"",11,37,0,0,0,0
20200309,S92000003,Total,d,15 to 19,"",1,1,0,"",0,"",0,"",1,1,0,0,0,0
20200309,S92000003,Total,d,20 to 24,"",1,3,0,"",0,"",0,"",1,3,0,0,0,0
20200309,S92000003,Total,d,25 to 44,"",6,19,0,"",0,"",0,"",6,19,0,0,0,0
20200309,S92000003,Total,d,45 to 64,"",6,17,0,"",0,"",0,"",6,17,0,0,0,0
20200309,S92000003,Total,d,60+,"",5,9,0,"",0,"",0,"",5,9,0,0,0,0
20200309,S92000003,Total,d,65 to 74,"",1,5,0,"",0,"",0,"",1,5,0,0,0,0
20200309,S92000003,Total,d,75 to 84,"",1,1,0,"",0,"",0,"",1,1,0,0,0,0
20200309,S92000003,Total,d,Total,d,16,46,0,"",0,"",0,"",16,46,0,0,0,0
20200310,S92000003,Female,"",0 to 59,"",9,20,0,"",0,"",0,"",9,20,0,0,0,0
20200310,S92000003,Female,"",20 to 24,"",0,2,0,"",0,"",0,"",0,2,0,0,,0
20200310,S92000003,Female,"",25 to 44,"",2,6,0,"",0,"",0,"",2,6,0,0,0,0
20200310,S92000003,Female,"",45 to 64,"",7,13,0,"",0,"",0,"",7,13,0,0,0,0
20200310,S92000003,Female,"",60+,"",1,3,0,"",0,"",0,"",1,3,0,0,0,0
20200310,S92000003,Female,"",65 to 74,"",1,2,0,"",0,"",0,"",1,2,0,0,0,0
